"key_ID","year","decision_stage_ID","decision_stage","count_cases"
82,2015,4,"Letter of formal notice (Art. 260)",8
83,2015,5,"Reasoned opinion (Art. 260)",0
84,2015,6,"Referral to the Court (Art. 260)",3
85,2016,1,"Letter of formal notice (Art. 258)",1002
86,2016,2,"Reasoned opinion (Art. 258)",294
87,2016,3,"Referral to the Court (Art. 258)",31
88,2016,4,"Letter of formal notice (Art. 260)",8
89,2016,5,"Reasoned opinion (Art. 260)",0
90,2016,6,"Referral to the Court (Art. 260)",6
91,2017,1,"Letter of formal notice (Art. 258)",735
92,2017,2,"Reasoned opinion (Art. 258)",276
93,2017,3,"Referral to the Court (Art. 258)",29
94,2017,4,"Letter of formal notice (Art. 260)",11
95,2017,5,"Reasoned opinion (Art. 260)",0
96,2017,6,"Referral to the Court (Art. 260)",0
97,2018,1,"Letter of formal notice (Art. 258)",659
98,2018,2,"Reasoned opinion (Art. 258)",157
99,2018,3,"Referral to the Court (Art. 258)",32
100,2018,4,"Letter of formal notice (Art. 260)",5
101,2018,5,"Reasoned opinion (Art. 260)",0
102,2018,6,"Referral to the Court (Art. 260)",2
103,2019,1,"Letter of formal notice (Art. 258)",828
104,2019,2,"Reasoned opinion (Art. 258)",317
105,2019,3,"Referral to the Court (Art. 258)",32
106,2019,4,"Letter of formal notice (Art. 260)",7
107,2019,5,"Reasoned opinion (Art. 260)",0
108,2019,6,"Referral to the Court (Art. 260)",3
109,2020,1,"Letter of formal notice (Art. 258)",147
110,2020,2,"Reasoned opinion (Art. 258)",11
111,2020,3,"Referral to the Court (Art. 258)",2
112,2020,4,"Letter of formal notice (Art. 260)",0
113,2020,5,"Reasoned opinion (Art. 260)",0
114,2020,6,"Referral to the Court (Art. 260)",0
